Data Set,,Animal_type,Type,Live_cells_0,Live_cells_3,Live_cells_10,Live_cells_17,Live_cells_24,Live_cells_31,CD19pos_B220pos_0,CD19pos_B220pos_3,CD19pos_B220pos_10,CD19pos_B220pos_17,CD19pos_B220pos_24,CD19pos_B220pos_31,CD19pos_0,CD19pos_3,CD19pos_10,CD19pos_17,CD19pos_24,CD19pos_31,CD19pos_B220pos_MHCIIpos_0,CD19pos_B220pos_MHCIIpos_3,CD19pos_B220pos_MHCIIpos_10,CD19pos_B220pos_MHCIIpos_17,CD19pos_B220pos_MHCIIpos_24,CD19pos_B220pos_MHCIIpos_31,CD11cpos_0,CD11cpos_3,CD11cpos_10,CD11cpos_17,CD11cpos_24,CD11cpos_31,CD11bpos_0,CD11bpos_3,CD11bpos_10,CD11bpos_17,CD11bpos_24,CD11bpos_31,mMDSCs_0,mMDSCs_3,mMDSCs_10,mMDSCs_17,mMDSCs_24,mMDSCs_31,gMDSCs_0,gMDSCs_3,gMDSCs_10,gMDSCs_17,gMDSCs_24,gMDSCs_31,intMDSCs_0,intMDSCs_3,intMDSCs_10,intMDSCs_17,intMDSCs_24,intMDSCs_31,mMDSCs_MHCIIpos_0,mMDSCs_MHCIIpos_3,mMDSCs_MHCIIpos_10,mMDSCs_MHCIIpos_17,mMDSCs_MHCIIpos_24,mMDSCs_MHCIIpos_31,gMDSCs_MHCIIpos_0,gMDSCs_MHCIIpos_3,gMDSCs_MHCIIpos_10,gMDSCs_MHCIIpos_17,gMDSCs_MHCIIpos_24,gMDSCs_MHCIIpos_31,intMDSCs_MHCIIpos_0,intMDSCs_MHCIIpos_3,intMDSCs_MHCIIpos_10,intMDSCs_MHCIIpos_17,intMDSCs_MHCIIpos_24,intMDSCs_MHCIIpos_31,
Pound male fat3 (6)-13-2016-09-07,,Pound_male,%Gated,96.50,85.6,92.7,98.4,,,22.4,26.9,12.4,14.1,,,32,40.9,43.3,36.6,,,91.3,95.1,96,95.1,,,8.4,1.2,2.5,2.9,,,69.1,53.1,63.2,92.9,,,10.6,8.1,1.7,15.9,,,84.3,83.8,89.9,76.4,,,2.5,3.3,2.5,3.7,,,1,2.1,12.7,1.4,,,0.1,1.4,0.1,0.3,,,6.3,6.1,20.3,2.9,,,
Pound male fat4 (7)-14-2016-09-07,,Pound_male,%Gated,90.50,96.6,,,,,16.8,40.7,,,,,23,57.2,,,,,94.9,93.7,,,,,4.4,1.8,,,,,83.6,86.9,,,,,24.4,10.5,,,,,59.2,85.9,,,,,8.7,1.3,,,,,1.7,0.8,,,,,0.3,0.7,,,,,3.4,7.5,,,,,
Pound male WT1 (3)-15-2016-09-07,,WT_male,%Gated,93.50,94.1,97.7,98.3,,,45.9,40.7,31.3,39,,,48.4,51,53.8,57.1,,,97.1,97.8,97,96,,,8.7,9.4,8.6,9.2,,,73.3,77.3,85.3,88.2,,,5.8,12.6,3.3,25,,,77.6,52.7,82.2,59.1,,,7.6,13.4,5.6,5.5,,,4.6,3,31.2,9,,,0.2,1.2,0.3,0.3,,,3.8,7.1,26.2,12.9,,,
Pound male WT2 (11)-16-2016-09-07,,WT_male,%Gated,92.80,,,,,,35.2,,,,,,38.8,,,,,,96,,,,,,8.8,,,,,,71.4,,,,,,17.3,,,,,,60.2,,,,,,12.2,,,,,,1.8,,,,,,0.5,,,,,,1.9,,,,,,
Pound female fat1 (12)-17-2016-09-07,,Pound_female,%Gated,93.50,85,92.2,97.4,96.7,,31.3,21.3,7.9,28,30.5,,36,35.4,40.1,46.3,52.3,,95.6,97.2,87,88.7,97.8,,5.1,1.4,0.5,1.7,3.3,,73.5,49.3,74.4,86.7,87.3,,19.6,17.1,0.4,9.5,10.4,,68.3,72,97.4,87.2,78.2,,6.4,4.5,0.5,1.5,6.9,,1.2,1.8,8.6,2.2,2,,0.2,0.9,0.1,0.3,0.2,,1.2,7.2,15.2,7.4,2.3,,
Pound female fat2 (13)-18-2016-09-07,,Pound_female,%Gated,89.70,85.6,95.8,96.7,97.3,,37.2,28.5,30.8,29.8,38.1,,40.9,36.7,48.9,47.9,55.2,,95.7,98.2,96.9,96.6,96.4,,6.9,1.7,3.6,5,5.7,,68.7,44.2,60.6,81.7,84.2,,12.2,9.3,0.8,16.7,14.6,,64.9,76.4,90.6,75,75,,13.2,6.6,3.1,4,4.7,,1.3,2,12.7,2.7,2.2,,0.4,0.4,0.3,0.3,0.2,,1.9,4.1,7.6,7.6,6.4,,
Pound female fat3 (15)-19-2016-09-07,,Pound_female,%Gated,95.50,84,,,,,30.6,9,,,,,36.5,31,,,,,95,85.7,,,,,4.2,2.2,,,,,86,56.4,,,,,15.5,7.4,,,,,75.7,80.3,,,,,4.7,2.7,,,,,0.3,4.8,,,,,0.2,1.4,,,,,1.5,3.7,,,,,
Pound female WT1 (14)-20-2016-09-07,,WT_female,%Gated,91.10,92.1,,,,,44.6,35.8,,,,,48.6,47.2,,,,,96.4,97,,,,,6.2,2.4,,,,,66.4,81.7,,,,,3.4,3.2,,,,,77.6,89.2,,,,,10.8,3.8,,,,,0.6,6.1,,,,,0.2,1.4,,,,,2.8,9.3,,,,,
Pound female WT2 (16)-21-2016-09-07,,WT_female,%Gated,88.40,84.9,,,,,30.4,16.2,,,,,38.4,30.9,,,,,94.7,97.7,,,,,10.8,5.5,,,,,54.3,50,,,,,3.4,3.3,,,,,74.6,83.8,,,,,9.5,6.1,,,,,2.1,9.7,,,,,0.2,2.7,,,,,1.5,10,,,,,
met 1#2 female WT,,WT_female,%Gated,96.40,98.9,97.9,97.7,99,99.8,26.9,23.1,33.8,26.1,20.2,1.2,26.7,29,37.9,26.8,20.5,1.3,65.2,98.8,98.6,34.4,23.5,1.2,8.7,6.2,12.6,28,1.7,0.4,54.1,57.4,76.8,72.1,17,2.3,6.5,15,10.7,9.4,10.9,13.1,66.4,60.3,60.9,59.9,63.7,56.7,13.5,12.3,15.4,19.5,15.4,16.2,2.4,8.3,10.3,3.8,3.6,5.2,0.7,34.7,6.3,0.4,1.9,0.1,15,61.1,45.7,56.4,44.7,9.9,
met 1#4 female fat (small stroke 0.8),,Pound_female,%Gated,95.60,99.1,98.1,95.5,98.3,97.2,37.2,4.8,32.5,23.7,34.4,18.3,35.1,5.7,36.9,25,37,20.9,84.4,98.4,99.6,34.9,42.2,20.1,8.5,0.7,13.1,16.7,4.7,13.4,59.3,6,47.6,70.2,69,55.6,13.9,18.6,19.1,16.7,19.8,10,60.6,63.3,52.4,62.3,54.9,59.8,13.9,10.2,14.4,15.5,15.6,14.6,0.5,10.5,10.1,0.6,2.1,2.3,0.6,31.4,8,0.2,2.7,0.2,10.9,61.1,58.1,42.5,45.1,4.5,
met 2#1 female fat,,Pound_female,%Gated,96.10,98.4,99.3,92.4,98.6,97.1,24.9,28.8,3.9,13.6,11.8,25.3,26,33.9,6.8,15.9,13.7,26,79.9,99.1,98.8,22.7,20.7,27.5,6.1,9.8,1,11.4,2.4,6,50,81.9,11.1,70.2,42.3,76.1,14.1,13.8,25.6,11.1,14.5,7.4,67.2,67.5,60.6,65.1,63.4,76.3,11.2,4.4,8.1,13.1,16,8.9,0.3,10.5,6.2,0.8,2.2,3,0.5,50.3,8.9,0.4,3.5,0.2,14.6,65,73.4,40,75.1,5.9,
met 4#1 PLT2,,PLT2_female,%Gated,98.40,99.6,89.7,96.9,99.7,99.7,23.4,11.7,8.6,32.8,12.7,3.9,23.5,13.8,20.6,32.7,12.1,3.6,80.9,99.1,96.5,35.6,14.2,4,3.6,1.4,8.1,35.7,1.5,0.9,15.4,12.3,82.8,75.1,5.7,3.3,16.7,18.5,9,11.6,11.6,10.2,43.6,57.2,76.4,54.6,53,48.4,23.2,12,6.6,22.1,23.9,24.5,1.3,11.9,9,0.8,6.9,6.6,0.6,37.3,7.8,1.1,2.6,0.3,9.7,63.4,48.1,44.7,62.1,5.4,
met 4#2 PLT2,,PLT2_female,%Gated,98.40,75.6,,97.3,98.7,97.8,28.5,14.6,,25,35.1,31.1,28.1,22.3,,25.9,35.4,31,83.1,99.5,,30.9,41.4,31.4,4.7,3.5,,45.9,7.2,11.2,24.4,29.1,,81.1,41,69.7,10.4,11.2,,9,9.7,5.9,48.4,58,,57.2,56,71.2,26.8,18.6,,21.4,21.4,14.1,2,25.3,,4.6,6.6,5.3,1,58,,0.6,3.2,0.2,11.3,74.9,,39.6,53.9,5.6,
met 4#3 PLT2,,PLT2_female,%Gated,96.50,91.4,,92.1,96.7,99.8,49.2,27.3,,19.7,36.1,2.8,47,34.2,,21.5,37.7,2.6,80.7,99.1,,30,48.4,2.9,12.3,8.5,,22.5,11,0.6,49.2,64.5,,70.6,77.6,3,10.5,15.9,,6.5,9.8,11.5,41.3,61.3,,61,58.6,60.5,28.2,13.3,,19.5,14.8,14.2,1,12.6,,3.4,3.6,7.4,1,30.9,,0.9,2.6,0.1,9.1,69.4,,54.4,50.8,12.8,
met 2#2 female fat,,Pound_female,%Gated,94.90,99.1,96,97.4,98.3,86,22.4,7.9,20.7,19.3,20.3,5.8,24.3,15.1,63.6,28.4,23,9.7,54,90.5,88.5,23.2,21.7,13.1,10,12.5,77.7,4.1,8.5,3.8,84.4,38.6,80.1,83.2,64.9,61,11.7,25.3,16.3,12.6,12.8,1.4,61.9,62.5,73.9,73.2,72.5,87,16.1,6.6,4.4,11.4,9,8,0.6,14,0.7,0.4,0.2,0,0.6,17.4,0.4,0.1,0.1,0.3,12.1,61.6,27.4,2.3,4,5.3,
met 2#3 female WT,,WT_female,%Gated,98.90,99.5,98.9,98.5,99.6,97,39,10.2,36.1,34.4,9.8,23.9,40.4,12.7,37.5,39.7,10.6,25.7,68.6,89.6,92.8,36.1,10.4,26.2,16.4,3.9,6.1,7.3,2.5,15.9,69.1,29.2,78.2,78.2,12.3,74.5,13.1,8.3,9.1,16.2,12.1,11.3,43,82.6,56.2,64.9,62.4,54.5,19.9,4.6,19.8,11.2,15.6,20.2,1.1,26.7,4.1,1.1,2.2,7.2,1.1,32.6,0.3,0,0,0.2,10.1,61.5,68.3,6.1,6.4,8.1,
met 2#4 female WT,,WT_female,%Gated,98.40,99.8,97.8,99.4,99.7,99,23.5,2.8,42.1,14.8,4.2,7.5,21.4,3.4,44.6,16.7,4.8,7.5,60.8,87.3,95.2,15.4,4.1,8.2,5.1,0.9,8.2,0.6,0.7,1.4,23.6,7.8,66.8,14.7,3.3,6.2,7.6,8.4,16.3,16.8,15.5,11.3,51.9,81,44.8,42.8,37.4,45.3,24.2,4.3,15.1,23.2,23.3,18.2,2.3,13.8,3.1,0.8,1.7,7.1,1,22.9,1.6,0,0.1,0.6,11,54,51.7,2.8,4.4,7.6,
met 3#4 female WT,,WT_female,%Gated,97.10,98.5,98.8,92.5,98.3,98.7,28.8,18.9,39.6,24.4,25.4,3.4,27.2,23,38.4,28.9,27.3,3.8,56.5,84.1,90.2,33.4,23.9,3.9,15.4,11.3,11.3,2.6,4.2,1.7,67.2,83,67.8,56.3,76,12.5,6.4,7.2,9.6,14.6,13.7,10.1,47.2,78.1,55.1,57.7,68.5,72.2,28.5,4.8,17.2,15,9.2,8.6,1.7,21.7,4.4,1.7,1.2,10.3,0.9,23.8,1.7,0.1,0,0.2,8.8,35.1,33.8,4.1,3.6,13,
met 4#4 PLT2,,PLT2_female,%Gated,98.10,98.9,93.8,90.5,93.6,99.7,9.6,19.3,28.6,24.7,35.7,2.3,9.4,22.6,35.9,29.4,39.7,2.4,76.3,90.7,89.3,35.7,40.7,2.5,2.3,11.3,4.6,7.1,9,0.8,6.7,87.1,71.7,44.8,67.8,4.9,9.3,9.1,11.3,7.2,14.3,8,41.3,79.2,59.4,44.9,42.3,65.9,27,4.8,12.9,29,23.6,14.3,1.7,29.3,0.7,2.3,0,8.5,0.6,33,0.8,0.2,0.3,0.2,8.4,47.3,19.5,3,3.7,8.3,
